ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.8688,6.1286,8.1331,10000.0,0.4,42.992,42.498333,-83.44088,0.0,915.0463527688232,0.0,63.980644,0.0,8 / 11,10,2018-07-25 13:38:42:227
-0.1428,3.4612,6.3091,10000.0,0.4,44.63,42.498333,-83.44088,0.0,915.0463527688232,0.0,63.980644,0.0,10 / 11,510,2018-07-25 13:38:42:727
-0.6135,4.4614,6.4267,10000.0,0.4,42.955,42.498333,-83.44088,0.0,915.0463527688232,0.0,63.980644,0.0,10 / 11,1010,2018-07-25 13:38:43:227
-0.1428,3.3631,6.819,10000.0,0.4,43.311,42.498333,-83.44088,0.0,915.0463527688232,0.0,63.980644,0.0,10 / 11,1510,2018-07-25 13:38:43:727
0.2691,4.481,6.6032,10000.0,0.4,42.705,42.498333,-83.44088,0.0,915.0463527688232,0.0,63.980644,0.0,10 / 11,2010,2018-07-25 13:38:44:227
-2.5356,-1.6383,5.2695,10000.0,0.4,43.057,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,2510,2018-07-25 13:38:44:727
3.3876,-1.5403,4.2693,10000.0,0.4,44.311,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,3010,2018-07-25 13:38:45:227
5.4862,-5.0118,5.956,10000.0,0.4,50.315,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,3510,2018-07-25 13:38:45:727
11.6056,-8.6991,2.661,10000.0,0.4,40.974,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,4010,2018-07-25 13:38:46:227
7.4672,-13.2886,2.6806,10000.0,0.4,41.699,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,4510,2018-07-25 13:38:46:727
7.0749,-3.0701,8.7803,10000.0,0.4,40.232,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,5010,2018-07-25 13:38:47:227
0.4064,6.8346,8.8588,10000.0,0.4,39.922,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,5510,2018-07-25 13:38:47:727
0.0141,4.9714,8.3096,10000.0,0.4,42.1,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,6010,2018-07-25 13:38:48:227
-0.3782,5.0302,6.8974,10000.0,0.4,40.248,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,6510,2018-07-25 13:38:48:727
-0.0055,4.3634,6.9759,10000.0,0.4,41.28,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,7011,2018-07-25 13:38:49:228
-1.1431,4.5203,6.6621,10000.0,0.4,41.407,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,7510,2018-07-25 13:38:49:727
-0.3193,4.5595,7.9762,10000.0,0.4,40.733,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,8009,2018-07-25 13:38:50:226
4.6429,3.3827,11.6831,10000.0,0.4,40.305,42.49952,-83.44073,861.29,915.0463527688232,4.43,117.44515,82.5,10 / 12,8509,2018-07-25 13:38:50:726
